order_id,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,delivery_status,days_diff,purchase_dayofweek,purchase_hour,purchase_month
e481f51cbdc54678b7cc49136f2d6af7,2017-10-02 10:56:33,2017-10-10 21:25:13,2017-10-18 00:00:00,early,-8,Monday,10,2017-10
53cdb2fc8bc7dce0b6741e2150273451,2018-07-24 20:41:37,2018-08-07 15:27:45,2018-08-13 00:00:00,early,-6,Tuesday,20,2018-07
47770eb9100c2d0c44946d9cf07ec65d,2018-08-08 08:38:49,2018-08-17 18:06:29,2018-09-04 00:00:00,early,-18,Wednesday,8,2018-08
949d5b44dbf5de918fe9c16f97b45f8a,2017-11-18 19:28:06,2017-12-02 00:28:42,2017-12-15 00:00:00,early,-13,Saturday,19,2017-11
ad21c59c0840e6cb83a9ceb5573f8159,2018-02-13 21:18:39,2018-02-16 18:17:02,2018-02-26 00:00:00,early,-10,Tuesday,21,2018-02
a4591c265e18cb1dcee52889e2d8acc3,2017-07-09 21:57:05,2017-07-26 10:57:55,2017-08-01 00:00:00,early,-6,Sunday,21,2017-07
6514b8ad8028c9f2cc2374ded245783f,2017-05-16 13:10:30,2017-05-26 12:55:51,2017-06-07 00:00:00,early,-12,Tuesday,13,2017-05
76c6e866289321a7c93b82b54852dc33,2017-01-23 18:29:09,2017-02-02 14:08:10,2017-03-06 00:00:00,early,-32,Monday,18,2017-01
e69bfb5eb88e0ed6a785585b27e16dbf,2017-07-29 11:55:02,2017-08-16 17:14:30,2017-08-23 00:00:00,early,-7,Saturday,11,2017-07
e6ce16cb79ec1d90b1da9085a6118aeb,2017-05-16 19:41:10,2017-05-29 11:18:31,2017-06-07 00:00:00,early,-9,Tuesday,19,2017-05
34513ce0c4fab462a55830c0989c7edb,2017-07-13 19:58:11,2017-07-19 14:04:48,2017-08-08 00:00:00,early,-20,Thursday,19,2017-07
82566a660a982b15fb86e904c8d32918,2018-06-07 10:06:19,2018-06-19 12:05:52,2018-07-18 00:00:00,early,-29,Thursday,10,2018-06
5ff96c15d0b717ac6ad1f3d77225a350,2018-07-25 17:44:10,2018-07-30 15:52:25,2018-08-08 00:00:00,early,-9,Wednesday,17,2018-07
432aaf21d85167c2c86ec9448c4e42cc,2018-03-01 14:14:28,2018-03-12 23:36:26,2018-03-21 00:00:00,early,-9,Thursday,14,2018-03
dcb36b511fcac050b97cd5c05de84dc3,2018-06-07 19:03:12,2018-06-21 15:34:32,2018-07-04 00:00:00,early,-13,Thursday,19,2018-06
403b97836b0c04a622354cf531062e5f,2018-01-02 19:00:43,2018-01-20 01:38:59,2018-02-06 00:00:00,early,-17,Tuesday,19,2018-01
116f0b09343b49556bbad5f35bee0cdf,2017-12-26 23:41:31,2018-01-08 22:36:36,2018-01-29 00:00:00,early,-21,Tuesday,23,2017-12
85ce859fd6dc634de8d2f1e290444043,2017-11-21 00:03:41,2017-11-27 18:28:00,2017-12-11 00:00:00,early,-14,Tuesday,0,2017-11
83018ec114eee8641c97e08f7b4e926f,2017-10-26 15:54:26,2017-11-08 22:22:00,2017-11-23 00:00:00,early,-15,Thursday,15,2017-10
203096f03d82e0dffbc41ebc2e2bcfb7,2017-09-18 14:31:30,2017-10-09 22:23:46,2017-09-28 00:00:00,late,11,Monday,14,2017-09
f848643eec1d69395095eb3840d2051e,2018-03-15 08:52:40,2018-03-19 18:08:32,2018-03-29 00:00:00,early,-10,Thursday,8,2018-03
2807d0e504d6d4894d41672727bc139f,2018-02-03 20:37:35,2018-02-08 16:13:46,2018-02-21 00:00:00,early,-13,Saturday,20,2018-02
95266dbfb7e20354baba07964dac78d5,2018-01-08 07:55:29,2018-01-26 17:32:38,2018-02-21 00:00:00,early,-26,Monday,7,2018-01
f3e7c359154d965827355f39d6b1fdac,2018-08-09 11:44:40,2018-08-13 18:24:27,2018-08-17 00:00:00,early,-4,Thursday,11,2018-08
fbf9ac61453ac646ce8ad9783d7d0af6,2018-02-20 23:46:53,2018-03-21 22:03:54,2018-03-12 00:00:00,late,9,Tuesday,23,2018-02
acce194856392f074dbf9dada14d8d82,2018-06-04 00:00:13,2018-06-16 15:20:55,2018-07-18 00:00:00,early,-32,Monday,0,2018-06
dd78f560c270f1909639c11b925620ea,2018-03-12 01:50:26,2018-03-21 14:41:50,2018-03-28 00:00:00,early,-7,Monday,1,2018-03
91b2a010e1e45e6ba3d133fa997597be,2018-05-02 11:45:38,2018-05-16 20:56:24,2018-05-23 00:00:00,early,-7,Wednesday,11,2018-05
ecab90c9933c58908d3d6add7c6f5ae3,2018-02-25 13:50:30,2018-03-27 23:29:14,2018-04-13 00:00:00,early,-17,Sunday,13,2018-02
f70a0aff17df5a6cdd9a7196128bd354,2017-08-10 11:58:33,2017-08-18 14:28:02,2017-08-23 00:00:00,early,-5,Thursday,11,2017-08
1790eea0b567cf50911c057cf20f90f9,2018-04-16 21:15:39,2018-05-05 12:28:34,2018-05-15 00:00:00,early,-10,Monday,21,2018-04
989225ba6d0ebd5873335f7e01de2ae7,2017-12-12 13:56:04,2018-01-03 18:03:36,2018-01-08 00:00:00,early,-5,Tuesday,13,2017-12
d887b52c6516beb39e8cd44a5f8b60f7,2018-02-03 12:38:58,2018-02-22 00:07:55,2018-03-07 00:00:00,early,-13,Saturday,12,2018-02
b276e4f8c0fb86bd82fce576f21713e0,2018-07-29 23:34:51,2018-07-31 22:48:50,2018-08-06 00:00:00,early,-6,Sunday,23,2018-07
8563039e855156e48fccee4d611a3196,2018-02-17 15:59:46,2018-03-20 00:59:25,2018-03-20 00:00:00,on_time,0,Saturday,15,2018-02
60550084e6b4c0cb89a87df1f3e5ebd9,2018-02-21 18:15:12,2018-03-13 23:58:43,2018-03-29 00:00:00,early,-16,Wednesday,18,2018-02
5acce57f8d9dfd55fa48e212a641a69d,2017-07-31 21:37:10,2017-08-08 21:24:41,2017-08-22 00:00:00,early,-14,Monday,21,2017-07
434d158e96bdd6972ad6e6d73ddcfd22,2018-06-01 12:23:13,2018-06-18 21:32:52,2018-07-17 00:00:00,early,-29,Friday,12,2018-06
7206b86ea789983f7a273ea7fa0bc2a8,2018-03-26 17:12:18,2018-04-05 22:11:18,2018-04-12 00:00:00,early,-7,Monday,17,2018-03
1e7aff52cdbb2451ace09d0f848c3699,2017-05-19 18:53:40,2017-05-31 13:58:46,2017-06-12 00:00:00,early,-12,Friday,18,2017-05
6ea2f835b4556291ffdc53fa0b3b95e8,2017-11-24 21:27:48,2017-12-28 18:59:23,2017-12-21 00:00:00,late,7,Friday,21,2017-11
948097deef559c742e7ce321e5e58919,2017-08-04 17:10:39,2017-08-12 14:08:40,2017-09-01 00:00:00,early,-20,Friday,17,2017-08
d22e9fa5731b9e30e8b27afcdc2f8563,2018-08-04 23:25:30,2018-08-13 23:34:42,2018-09-13 00:00:00,early,-31,Saturday,23,2018-08
6ebaec694d7025e2ad4a05dba887c032,2017-05-18 13:55:47,2017-05-29 12:47:20,2017-06-09 00:00:00,early,-11,Thursday,13,2017-05
d17dc4a904426827ca80f2ccb3a6be56,2017-05-14 20:28:25,2017-05-25 09:14:31,2017-06-12 00:00:00,early,-18,Sunday,20,2017-05
25f4376934e13d3508486352e11a5db0,2018-05-17 16:59:11,2018-05-21 15:22:11,2018-05-25 00:00:00,early,-4,Thursday,16,2018-05
5820a1100976432c7968a52da59e9364,2018-07-29 11:24:17,2018-08-02 22:09:11,2018-08-13 00:00:00,early,-11,Sunday,11,2018-07
2ce1ad82022c1ba30c2079502ac725aa,2017-08-09 20:19:05,2017-08-16 17:16:44,2017-08-31 00:00:00,early,-15,Wednesday,20,2017-08
138849fd84dff2fb4ca70a0a34c4aa1c,2018-02-01 14:02:19,2018-02-14 13:41:59,2018-02-23 00:00:00,early,-9,Thursday,14,2018-02
47aa4816b27ba60ec948cd019cc1afc1,2018-06-26 13:42:52,2018-07-03 18:37:46,2018-07-20 00:00:00,early,-17,Tuesday,13,2018-06
